PID USER PR NI VIRT RES SHR S %CPU %MEM TIME+ COMMAND
222020 yh 19 0 87734472 492832 0 Sl 5.5 3.0 01:15:20 node
222031 yh 19 0 11857524 56968 0 Sl 0.0 0.3 00:00:14 node
230558 yh 19 0 13208 6464 0 Ss 0.0 0.0 00:00:00 zsh
239834 yh 19 0 47364 33064 0 T 0.0 0.2 00:00:00 python
254405 root 19 0 0 0 0 I 0.0 0.0 00:00:00 kworker/3:2-events
256596 root 19 0 0 0 0 I 0.0 0.0 00:00:02 kworker/0:1-events
256618 root 19 0 0 0 0 I 0.0 0.0 00:00:00 kworker/1:2-events
256619 root 19 0 0 0 0 I 0.0 0.0 00:00:01 kworker/4:2-events
256756 root 19 0 0 0 0 I 0.0 0.0 00:00:01 kworker/5:0-events
259454 root 19 0 0 0 0 I 0.0 0.0 00:00:01 kworker/3:1-events
259480 root 19 0 0 0 0 I 0.0 0.0 00:00:01 kworker/1:1-events
259490 root 19 0 0 0 0 I 0.0 0.0 00:00:00 kworker/0:2
259523 root 19 0 0 0 0 I 0.0 0.0 00:00:00 kworker/5:1
260141 yh 19 0 2069988 33156 0 Sl+ 0.0 0.2 00:00:01 docker
260160 yh 19 0 2032908 55984 0 Sl+ 0.0 0.3 00:00:07 docker-compose
260222 root 19 0 1745164 6168 0 Sl 0.0 0.0 00:00:00 docker-proxy
260229 root 19 0 1671432 6208 0 Sl 0.0 0.0 00:00:00 docker-proxy
260243 root 19 0 1745164 6192 0 Sl 0.0 0.0 00:00:00 docker-proxy
260250 root 19 0 1745164 6108 0 Sl 0.0 0.0 00:00:00 docker-proxy
260273 root 19 0 2133832 22224 0 Sl 0.0 0.1 00:00:05 containerd-shim
260304 root 19 0 2133576 22100 0 Sl 0.0 0.1 00:00:04 containerd-shim
260328 root 19 0 780924 119296 0 Ssl 0.0 0.7 00:00:15 ruby
260335 root 19 0 2808 1884 0 Ss 0.0 0.0 00:00:00 sh
260400 root 19 0 2084640 43404 0 Sl 0.0 0.2 00:00:01 ollama
260448 root 19 0 1745164 6228 0 Sl 0.0 0.0 00:00:00 docker-proxy
260455 root 19 0 1744908 6112 0 Sl 0.0 0.0 00:00:00 docker-proxy
260478 root 19 0 2060100 22292 0 Sl 0.0 0.1 00:00:05 containerd-shim
260500 root 19 0 912180 240596 0 Ssl 0.1 1.4 00:02:24 uvicorn
263173 yh 19 0 1004328 67440 0 Sl 0.0 0.4 00:00:03 node
272681 yh 19 0 1038504 111880 0 Sl 0.0 0.6 00:00:03 node
279502 yh 19 0 16528 7644 0 Ss+ 0.0 0.0 00:00:00 zsh
427439 root 19 0 0 0 0 I 0.0 0.0 00:00:01 kworker/4:1-events
427530 yh 19 0 3895240 398700 0 Sl 4.4 2.4 00:23:36 gnome-system-mo
432656 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/u37:1-ttm
434749 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/3:2H-kblockd
475321 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/u32:2
611168 yh 19 0 2926500 69120 0 Sl 0.0 0.4 00:00:00 gjs
621753 root 19 0 0 0 0 I 0.0 0.0 00:00:12 kworker/u25:0-events_unbound
625018 root 19 0 0 0 0 I 0.0 0.0 00:00:12 kworker/u30:2-events_unbound
645364 yh 19 0 996852 56896 0 Sl 0.0 0.3 00:00:00 node
646047 root 19 0 0 0 0 I 0.1 0.0 00:00:14 kworker/u29:1-kvfree_rcu_reclaim
646936 yh 19 0 17028 8148 0 Ss 0.0 0.0 00:00:01 zsh
653130 root 19 0 0 0 0 I 0.0 0.0 00:00:05 kworker/2:2-events
661453 root 19 0 0 0 0 I 0.0 0.0 00:00:08 kworker/u26:2-kvfree_rcu_reclaim
706568 root 19 0 0 0 0 I 0.0 0.0 00:00:05 kworker/u27:0-events_unbound
716020 root 19 0 0 0 0 I 0.1 0.0 00:00:11 kworker/u28:2-writeback
727341 root 19 0 0 0 0 I 0.1 0.0 00:00:12 kworker/u26:1-events_unbound
750637 root 19 0 0 0 0 I 0.0 0.0 00:00:04 kworker/u25:2-flush-8:0
751439 root 19 0 0 0 0 I 0.0 0.0 00:00:03 kworker/u28:0-ext4-rsv-conversion
757673 root 19 0 0 0 0 I 0.0 0.0 00:00:04 kworker/u30:0-events_unbound
771306 root 19 0 0 0 0 I 0.0 0.0 00:00:01 kworker/u29:2-flush-8:0
773771 root 19 0 0 0 0 I 0.0 0.0 00:00:00 kworker/u28:1
824399 root 19 0 0 0 0 I 0.0 0.0 00:00:00 kworker/u30:1-flush-8:0
828685 root 19 0 0 0 0 I 0.0 0.0 00:00:00 kworker/u27:1-flush-8:0
836113 root 19 0 0 0 0 I 0.0 0.0 00:00:00 kworker/u27:2-flush-8:0
838577 root 19 0 0 0 0 I 0.0 0.0 00:00:00 kworker/2:0-ata_sff
840917 root 19 0 0 0 0 I 0.0 0.0 00:00:00 kworker/u26:0
843623 root 19 0 0 0 0 I 0.0 0.0 00:00:00 kworker/2:1-ata_sff
846456 yh 19 0 8716 2388 0 S 0.0 0.0 00:00:00 sleep
847713 yh 19 0 8716 2224 0 S 0.0 0.0 00:00:00 sleep
847765 yh 19 0 8716 2376 0 S 0.0 0.0 00:00:00 sleep
847829 yh 19 0 8716 2368 0 S 0.0 0.0 00:00:00 sleep
847853 yh 19 0 8716 2220 0 S 0.0 0.0 00:00:00 sleep
848150 yh 19 0 17028 4268 0 S+ 0.0 0.0 00:00:00 zsh
848151 yh 19 0 12440 4496 0 R+ 0.0 0.0 00:00:00 ps
848152 yh 19 0 12216 4112 0 S+ 0.0 0.0 00:00:00 awk
